table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Ohio: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ohio,"11,536,504","11,536,751","11,539,336","11,544,663","11,548,923","11,576,684","11,602,700","11,617,527","11,634,370","11,659,650","11,676,341","11,689,100"
".Adams County, Ohio","28,550","28,541","28,537","28,459","28,293","28,089","28,066","27,926","27,807","27,753","27,694","27,698"
".Allen County, Ohio","106,331","106,313","106,358","105,988","105,244","105,055","104,848","104,095","103,613","103,093","102,725","102,351"
".Ashland County, Ohio","53,139","53,140","53,321","53,252","53,239","53,153","53,161","53,310","53,520","53,662","53,706","53,484"
".Ashtabula County, Ohio","101,497","101,489","101,403","101,085","100,252","99,746","99,027","98,404","98,171","97,748","97,587","97,241"
".Athens County, Ohio","64,757","64,764","65,173","65,079","64,610","64,594","64,783","65,886","66,352","66,503","65,519","65,327"
".Auglaize County, Ohio","45,949","45,917","45,898","45,741","45,770","45,801","45,737","45,734","45,766","45,753","45,736","45,656"
".Belmont County, Ohio","70,400","70,400","70,333","70,122","69,709","69,563","69,367","68,973","68,606","68,002","67,533","67,006"
".Brown County, Ohio","44,846","44,826","44,863","44,629","44,281","44,111","43,933","43,697","43,638","43,523","43,570","43,432"
".Butler County, Ohio","368,130","368,136","369,102","370,123","370,550","371,395","373,750","375,998","378,354","380,607","382,000","383,134"
".Carroll County, Ohio","28,836","28,834","28,846","28,820","28,538","28,257","28,129","27,718","27,621","27,324","27,082","26,914"
".Champaign County, Ohio","40,097","40,101","40,078","39,824","39,573","39,461","39,078","38,963","38,741","38,851","38,785","38,885"
".Clark County, Ohio","138,333","138,339","138,274","137,811","137,171","136,638","136,311","135,746","134,723","134,549","134,528","134,083"
".Clermont County, Ohio","197,363","197,366","197,604","198,859","199,487","200,447","201,454","201,995","203,165","204,260","205,526","206,428"
".Clinton County, Ohio","42,040","42,048","41,922","41,913","41,819","41,864","41,805","41,839","41,887","42,004","42,085","41,968"
